"2.4 ghz","wifi,router,network,4ghz,ghz,gigahertz,2.4, 2.4 ghz"
"900 mhz","rs120,pioneer,900,rs175,hdr,mhz,megahertz,900 megahertz,900 mhz"
"airline adapter","adapter,airline,adaptor,converter,splitter,extender,airline adapter"
"all discrete","all, discrete, all discrete"
"amplifier","amplifier,amplification"
"analog","analog,5mm audio cable"
"armature","armature,ba,tweeter,knowles"
"around-the-ear","around-the-ear,around ear,around head,wrap around ear,soundlink around ear,around ear headphones,goes around ear,fit around ear,wraps around ear,around ear wireless,around back head,go around ear"
"asymmetrical cord","asymmetrical, asymmetrical cord,cord,cable,wire,chord,charging cable,audio cable,long cord,charging cord,cord long,aux cord,aux cable,cord in,cord length,in cord,cable box,usb cord,memory wire,cable in,headphone cable,cord headphones,length cord,volume, control cord,tangle free cord"
"attenuator","attenuator, headphone attenuator,tube amp attenuator"
"automatic call distributor","call,calling,phone call,call quality,answer call,end call,phone call quality,make phone call,call comes in,answer phone call,call sound quality,call quality great,phone call person,automatic call distributor"
"balanced headphones","balanced,neutral,rounded,defined,represented,balanced sound,balanced armature,balanced armature drivers,balanced headphones"
"behind-the-neck","neck,behind,collar,shoulder,chin,around neck,behind neck,back neck,around neck in,hang around neck,around back neck,hanging around neck,behind-the-neck"
"biaural or binaural","biaural or binaural, stereo,stereophonic,biaural,binaural,biaural or binaural"
"binaural recording","recording,mixing,monitoring,recorded,binaural,mastering,recorder,binaural recording"
"bluetooth","bluetooth,bt,blutooth,bluetooth headphones,bluetooth earbuds,bluetooth connection,blue tooth,bluetooth headset, bluetooth,pair bluetooth,via bluetooth,bluetooth devices,bluetooth device,connect bluetooth,bluetooth range,bluetooth ,use bluetooth,in bluetooth,headphones bluetooth,bluetooth connectivity,bluetooth headphone,phone bluetooth,bluetooth transmitter,bluetooth earphones,good bluetooth,using bluetooth,quality bluetooth,bluetooth phone,set bluetooth"
"boom microphone","boom microphone,mic,microphone,boom,mics,mike,in mic,mic quality,mic works,mic work,microphone works,microphone work,headphones mic,microphone quality,headphones microphone,good mic,sound mic,quality mic,mic volume,built in mic,built in microphone,mic works well,mic volume control,microphone volume control,in line mic,sound quality mic,mic works great,sound quality microphone,in line microphone,microphone works great,microphone phone calls,mic sound quality,mic phone calls,volume control mic"
"bright","bright,vibrant"
"circumaural","circumaural,circum aural, circum"
"clipping","clipping"
"closed","closed"
